feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene Symbol
10	-0.184929559669642	6.19460604015217	-2.63954510353602	0.011281163529791	0.034343162474393	-3.48896170554834	NAT2
100	1.11696885847768	6.72774313202174	6.43541053412569	6.30308485238239e-08	2.74686610885708e-06	8.06888682703602	ADA
1000	0.0662693352366072	6.46826016497826	0.546343429537026	0.587457936339959	0.688151933998541	-6.60681928732152	CDH2
10000	-0.122171516160714	4.58511746347826	-3.11713055910159	0.00313783111246749	0.0131458838804455	-2.3176175544334	AKT3
10001	0.381060312071429	5.96983848341304	4.01517613238944	0.000216225458141657	0.0016450093678228	0.198741342528185	MED6
10002	-0.128779619441964	4.86655145206522	-3.71210381384254	0.000551485167919181	0.00340499030643301	-0.68947094143883	NR2E3
10003	0.115354319169643	4.20511765954348	2.8107237440566	0.0072265979563821	0.0245762264723237	-3.08471183080199	NAALAD2
10004	0.159250163535714	5.96845215417391	1.42612281859509	0.16055324895609	0.256050713132306	-5.75384428352123	NAALADL1
10005	-0.308543967544643	9.07740182858696	-2.55555988563588	0.0139554805002864	0.0403695332990487	-3.68049043983686	ACOT8
10006	-0.173698932120536	8.64866968797826	-1.50829965332269	0.138284202115086	0.227878117966879	-5.63778262673293	ABI1
10007	0.201742188624999	8.96941353608696	1.70908437780132	0.0941434450900081	0.171257918563614	-5.32972207062513	GNPDA1
10009	-0.0338079139910717	3.98695333356522	-1.20535917535898	0.234200218507326	0.343489846141461	-6.03588163661622	ZBTB33
1001	0.0295213965178569	6.33843731352174	0.236711857175329	0.813926415347513	0.867822615353239	-6.72855711459958	CDH3
10010	0.266926915361607	6.15778710630435	3.4041162310398	0.00138113179701379	0.00701377088889785	-1.55325536537623	TANK
10013	-0.346990515348214	7.78378055545652	-4.35159524858777	7.40349751320583e-05	0.000728717414802289	1.22238598568287	HDAC6
10014	0.0423100200044643	7.2311456771087	0.223279589069355	0.824301906735991	0.875702467251414	-6.73166787678396	HDAC5
