feature_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene Symbol	gene	score
10561	3.18416196388839	9.81081218841304	15.5153497053952	6.01179225167737e-20	7.23098372031754e-16	34.773969749494	IFI44	IFI44	48.21076779332978
10964	3.90609882056696	9.62497714076087	11.5087194002111	3.6219928879358805e-15	8.71306609121856e-12	24.2855058427616	IFI44L	IFI44L	43.20078498015
4599	3.24147248708035	11.1572309686739	11.8730990784921	1.22521780266284e-15	4.91230657680955e-12	25.329735000481	MX1	MX1	36.6568870350365
7305	3.30501829393303	8.96681505078261	10.2390227300307	1.80847748089635e-13	1.20846484112341e-10	20.5028734700337	TYROBP	TYROBP	32.7783980000513
712	3.58156584416964	8.39525419415217	9.37086453314414	2.9452875809816997e-12	1.1070599695015e-09	17.7920751826959	C1QA	C1QA	32.07589072515699
4600	2.84281248072768	9.19078212767391	10.8011570265122	3.12119214004405e-14	3.7541699060449796e-11	22.2049368620332	MX2	MX2	29.637701934478866
55008	2.78701186265178	8.91890296526087	10.6195430765022	5.48175773955994e-14	5.494548507618909e-11	21.6597395188616	HERC6	HERC6	28.594931194652663
51338	3.32207713320536	6.86985853147826	9.01426707565509	9.50677117548361e-12	2.5410543044159303e-09	16.651427489804	MS4A4A	MS4A4A	28.55320662895314
2537	2.964539776625	11.6128683607609	9.80302709870726	7.26009907533244e-13	3.35863352608071e-10	19.1536067640783	IFI6	IFI6	28.085567753781387
3669	2.63155145505357	8.45268323254348	10.9481748607221	1.9845425124562502e-14	2.6522308155359696e-11	22.6429550199605	ISG20	ISG20	27.832311028755758
963	2.88377375545089	9.89421229969565	9.93444067178309	4.76356866599567e-13	2.4911393006346e-10	19.5629130282407	CD53	CD53	27.694615367077866
4939	2.58443298262053	8.45202962447826	10.4570561324478	9.10556507022213e-14	7.301449110975449e-11	21.1681407092453	OAS2	OAS2	26.197339949827416
3429	2.1447794976875	11.7109782246304	11.627269298934	2.5408392880489803e-15	7.64030373916328e-12	24.6272788196265	IFI27	IFI27	23.843276411205448
3055	2.62055754094643	8.39687607815217	9.18802339111897	5.36151911172786e-12	1.6535474839964802e-09	17.2091010883794	HCK	HCK	23.01264441473195
91543	3.06547772233928	9.28020238891304	8.00488823182091	2.8155942521214e-10	3.84840541642229e-08	13.3480609189214	RSAD2	RSAD2	22.729656472206234
51191	2.39340398965625	7.95971685395652	9.72229134830614	9.4151830170183e-13	4.04449361888201e-10	18.9010392145202	HERC5	HERC5	22.481568807874762
4938	2.53049211465179	10.137143231913	9.16114964334276	5.8568543264148994e-12	1.76115609595296e-09	17.1230800113629	OAS1	OAS1	22.15243950975897
4940	2.57568095829018	9.26116938286956	8.96744972795726	1.1099461155762e-11	2.9022677995979504e-09	16.5005705759304	OAS3	OAS3	21.989264499925763
2207	2.52910766026339	9.34184813606522	9.09678310043065	7.23976078680001e-12	2.0251126219449e-09	16.9167020813422	FCER1G	FCER1G	21.98692597247804
3689	2.69294689967857	8.28958336356522	8.5918990758243	3.8774372765549094e-11	7.99695808390178e-09	15.2816880672485	ITGB2	ITGB2	21.804993503343674
64135	2.17271021511161	8.25583039578261	10.1139844333472	2.68771194971237e-13	1.63271146249289e-10	20.1184814870271	IFIH1	IFIH1	21.264511632161273
10437	2.5275577119375	12.1038824985	8.77474206260364	2.1050565992665197e-11	4.6888186622180804e-09	15.8770316196811	IFI30	IFI30	21.051867842211358
64231	2.45883349052678	8.54157028426087	8.94808028045447	1.1834849794719199e-11	2.9656161110600603e-09	16.438084700677	MS4A6A	MS4A6A	20.9686494076174
719	2.47529908383036	8.4133489006087	8.87876482915961	1.48939108427058e-11	3.5458513242014404e-09	16.2141272629484	C3AR1	C3AR1	20.916969050268616
54739	2.37166593291964	8.72946325017391	9.19429328661251	5.252176497875719e-12	1.6535474839964802e-09	17.2291583298261	XAF1	XAF1	20.826982018911103
23643	2.1500873466875	6.61377373532609	9.97682807706814	4.16004647994667e-13	2.27441086639993e-10	19.6944555173161	LY96	LY96	20.73357411410394
8519	1.87277388533928	12.4062667148696	11.3308458428005	6.18653917967386e-15	1.2401948875519499e-11	23.7690253024496	IFITM1	IFITM1	20.425427226691387
713	3.11576288476786	8.12149908104348	7.2761123696991	3.4263099661470903e-09	3.0302688435895e-07	10.9094214455238	C1QB	C1QB	20.310159063614847
929	2.30442775701339	9.19661720093478	9.22676667516537	4.72088332816778e-12	1.6535474839964802e-09	17.3329652886681	CD14	CD14	20.23652437428831
4067	2.21913169088393	8.2532676188913	9.35346865376749	3.11751412647565e-12	1.1362866640378501e-09	17.7367834162188	LYN	LYN	19.849050239221437
29108	1.98826951394196	7.56061899341304	9.89615534217439	5.38462131341034e-13	2.69859271490415e-10	19.4438992079714	PYCARD	PYCARD	19.02547790279961
3059	2.10696183370089	9.7528503836087	9.42487341047331	2.46943966098099e-12	9.68784951355939e-10	17.96350370846	HCLS1	HCLS1	18.99167487943594
6925	1.83497331761607	7.42821482804348	10.6779686938502	4.57121732304155e-14	4.998418360140339e-11	21.8356240758418	TCF4	TCF4	18.902367313589252
9332	2.97301505937946	8.47659298134783	7.11113779086722	6.058005841072051e-09	4.79379567476412e-07	10.353284694093	CD163	CD163	18.787434954393923
2634	1.89782102429464	8.1447328623913	10.040693283449	3.39339032375199e-13	1.94360470543281e-10	19.8922063415169	GBP2	GBP2	18.430484023198048
64761	1.68684477165179	9.14727814023913	11.0893542655464	1.28809258582676e-14	1.93664720279053e-11	23.0607654080491	PARP12	PARP12	18.07108283127619
7045	1.87388423952232	8.65839207795652	9.8544850735515	6.15420423762654e-13	2.96091074280688e-10	19.3141464722777	TGFBI	TGFBI	17.85544592602031
9111	1.73266444102232	9.14857073313043	10.549992038126	6.80888612328692e-14	6.299790945453469e-11	21.4497550762873	NMI	NMI	17.67434487531406
3428	1.60614760565625	9.2602035695	11.1969487499411	9.28192985855301e-15	1.5949007476953697e-11	23.3773266074806	IFI16	IFI16	17.342003476982754
834	1.70993713109375	7.500129186	10.371560605258	1.19083439683184e-13	8.95209757818333e-11	20.9080384846085	CASP1	CASP1	17.18157686789753
1520	1.99164916608482	6.81118424963043	8.87272124125236	1.51958440688762e-11	3.5458513242014404e-09	16.1945750684886	CTSS	CTSS	16.829992075755367
4069	2.63414324191964	8.79947479128261	7.12975305702623	5.68037642484815e-09	4.55490450920491e-07	10.4160904706924	LYZ	LYZ	16.70447395681222
1278	2.43404981969196	8.21018869919565	7.48857501924422	1.6478938701576402e-09	1.63808822068232e-07	11.6237939708249	COL1A2	COL1A2	16.51664110217806
1524	2.29054472905357	7.53741157928261	7.83981795682512	4.94310028414161e-10	6.44676935479096e-08	12.7988812612684	CX3CR1	CX3CR1	16.470523476158174
10875	1.66786151607589	10.045707038087	10.1108217148341	2.71485111821232e-13	1.63271146249289e-10	20.1087317399513	FGL2	FGL2	16.323511696477215
3434	2.06388083506696	10.9463353263261	8.3863441760023	7.73559007745569e-11	1.31047433030475e-08	14.608286650208	IFIT1	IFIT1	16.268688211992863
3587	2.16258515799553	7.59682039471739	8.02130740362176	2.6626143322686903e-10	3.76775590453269e-08	13.4025673528921	IL10RA	IL10RA	16.054853239351633
1475	1.79877835783482	6.00789180058696	9.20435203324173	5.0814450863905896e-12	1.6535474839964802e-09	17.2613262850703	CSTA	CSTA	15.796122040051927
55303	1.52819903622768	10.7569336991522	10.3294222060549	1.35969140666206e-13	9.620216611371309e-11	20.779478324005	GIMAP4	GIMAP4	15.30768725701918
5788	2.26019428328125	7.51514544713043	7.43593349327627	1.9751254785747803e-09	1.9472794472375e-07	11.4470157758869	PTPRC	PTPRC	15.167195838937074
2625	1.3087510955625	7.07937921823913	11.9356887122926	1.01883745089734e-15	4.91230657680955e-12	25.5072357729229	GATA3	GATA3	14.80029253934112
962	2.02847947580357	8.53168267065217	7.69611118954778	8.08190094329696e-10	9.08942475086694e-08	12.3191080713532	CD48	CD48	14.28346439510596
81831	2.17533133179464	7.53460680358696	7.19362847455429	4.55521425011355e-09	3.85845894368773e-07	10.6315011298132	NETO2	NETO2	13.951674828478303
9636	2.71375072149553	10.2323626541522	6.06518720815637	2.27449671858388e-07	7.64180070701867e-06	6.81894550239778	ISG15	ISG15	13.88573134080977
10161	1.68756695253125	9.63551364965217	8.57141843578605	4.1528902387988294e-11	8.32516063204539e-09	15.214784217264	LPAR6	LPAR6	13.634878400758836
9535	1.33934824906696	9.22276045130435	10.4833432495037	8.3859829737092e-14	7.204757371983869e-11	21.2479148853946	GMFG	GMFG	13.584179751476
6039	2.11299536638839	7.56908635473913	7.01165083859862	8.5470002574398e-09	6.25030664987488e-07	10.0174324681993	RNASE6	RNASE6	13.109231752812905
2354	-2.58952011015178	7.05152385069565	-6.00878634176956	2.76464204375294e-07	8.9581193083902e-06	6.62902200869747	FOSB	FOSB	13.07133599859455
200315	2.15026118822768	6.3267036685	6.89560236914889	1.2774946436676e-08	8.68118958984964e-07	9.62532257147533	APOBEC3A	APOBEC3A	13.03363780370414
2219	2.35865567725446	8.4614006166087	6.38940259553377	7.39387983663854e-08	3.15367328635065e-06	7.91333861141894	FCN1	FCN1	12.975397223658838
81563	-1.63053507072321	7.84066314769565	-8.4017995182295	7.34310629232303e-11	1.26175546405802e-08	14.6590640652088	C1orf21	C1orf21	12.87963697048201
7097	1.87998112780803	8.25874784276087	7.53212631315633	1.4187349274044902e-09	1.48387336581054e-07	11.7699258956465	TLR2	TLR2	12.837645070643784
3936	2.11257871516964	8.82335541091304	6.89689137916962	1.27180174980139e-08	8.68118958984964e-07	9.62967963407505	LCP1	LCP1	12.80522847925777
11010	1.96643559663839	6.44300389580435	7.2011569865453	4.43827790922956e-09	3.78607139661086e-07	10.656879474283	GLIPR1	GLIPR1	12.628078139551443
28232	1.55853171401339	7.1427925541087	8.54605560150101	4.5215374255053e-11	8.632547960948851e-09	15.1318721769022	SLCO3A1	SLCO3A1	12.56778310606172
150094	-1.8849705730625	6.74463116658696	-7.37740061493694	2.4162580014124203e-09	2.27052744070224e-07	11.2502765511418	SIK1	SIK1	12.523505558017858
9450	1.58388375504018	8.33919619634783	8.22663938990435	1.32655646798987e-10	2.13075327015734e-08	14.0822606533229	LY86	LY86	12.150711699431705
11326	2.22654049542411	8.32940960630435	6.32936185233114	9.10582666798126e-08	3.7545044208169e-06	7.71041359296264	VSIG4	VSIG4	12.079978297289173
1293	2.23909829116964	7.3790374015	6.29683797364786	1.01930606688896e-07	4.10040581021417e-06	7.600527578382	COL6A3	COL6A3	12.06241021626329
2124	1.89651034180357	6.36861318119565	7.10463440045917	6.19578765552539e-09	4.82643203439654e-07	10.3313401269437	EVI2B	EVI2B	11.979068244157679
2487	1.68218017308482	9.0566822993913	7.76487888856106	6.386474838886731e-10	7.75924438001309e-08	12.5488772689148	FRZB	FRZB	11.960604781344475
5359	1.50247942782143	10.2891949346522	8.43085878649724	6.65867594624636e-11	1.17780226884487e-08	14.754473300802	PLSCR1	PLSCR1	11.913050623845402
64854	-1.47716832213393	8.47965378904348	-8.53654850597883	4.6680800549204393e-11	8.7730729532161e-09	15.1007762357349	USP46	USP46	11.901321024751738
10631	2.00868330772768	11.1069837831522	6.67122159262906	2.78118829530953e-08	1.53450150532032e-06	8.86650736062403	POSTN	POSTN	11.678550397302264
7369	-2.90873007460714	9.73899911913044	-5.0266657060793	7.95942541448791e-06	0.0001279892632158	3.36909278349858	UMOD	UMOD	11.323181402309476
5698	1.30831361566071	10.7804285146087	9.0305635584948	9.00828188724252e-12	2.4625366940853e-09	16.7038799975335	PSMB9	PSMB9	11.262771211722104
313	1.68049426543303	6.47702535128261	7.23444336291569	3.95631794281188e-09	3.44830378377836e-07	10.7690586857248	AOAH	AOAH	10.860016866794645
8502	-1.15407147459375	6.73731814584783	-9.74506176445269	8.74895466291383e-13	3.89749728464917e-10	18.9723570010112	PKP4	PKP4	10.858905681989986
51316	1.91731461582143	6.5930932085	6.49220200470756	5.17580731107852e-08	2.35812917945653e-06	8.26094020690989	PLAC8	PLAC8	10.789558404883275
2123	1.93523554204464	6.9324987775	6.38130915439094	7.60441308010761e-08	3.22062959603994e-06	7.8859797477084	EVI2A	EVI2A	10.628428202388198
1794	1.81711204113393	6.74934262608696	6.68535594259505	2.64811352743259e-08	1.47059342211238e-06	8.9143211034679	DOCK2	DOCK2	10.598319391902207
3119	1.74178144604464	9.88092513506522	6.89794483591067	1.26716805780995e-08	8.68118958984964e-07	9.63324046346086	HLA-DQB1	HLA-DQB1	10.55767021478421
23586	1.69794331005804	6.3948143356087	7.00899264083345	8.626007769984181e-09	6.25030664987488e-07	10.0084546780398	DDX58	DDX58	10.534207840093163
1536	1.78176727013839	7.03191448452174	6.72596295711626	2.30020680909199e-08	1.34305279125041e-06	9.05168110380357	CYBB	CYBB	10.462371556625758
5610	1.20929534238839	6.88819376647826	8.95067498258866	1.1733552831515499e-11	2.9656161110600603e-09	16.44645767504	EIF2AK2	EIF2AK2	10.312731692691504
51056	1.28588833589286	10.8397215816304	8.50079445656284	5.2634128196633396e-11	9.59217112044102e-09	14.9837495093558	LAP3	LAP3	10.310359511624382
10346	1.3468814298125	10.4113581496522	8.1991400516281	1.45598975284516e-10	2.27436944769112e-08	13.9914469007862	TRIM22	TRIM22	10.294401967457697
948	2.27051640469196	6.40052532054348	5.56352991887026	1.28235876628799e-06	3.0725520400223e-05	5.13764801526065	CD36	CD36	10.245706985199522
4688	1.92694632308482	8.19023899623913	6.23642437377839	1.25681793515817e-07	4.87289325887219e-06	7.39649636921556	NCF2	NCF2	10.236349503900394
3431	1.26137917765179	8.01230927884783	8.60443270902937	3.7180341387258896e-11	7.845704319402631e-09	15.3226102009857	SP110	SP110	10.223942502034335
5105	-2.38492145154018	9.62276329619565	-5.35801157747562	2.58976394373521e-06	5.3247317461961e-05	4.45585954442811	PCK1	PCK1	10.192444213086247
64108	1.64176673316518	8.48799351991304	7.00609705588197	8.712904559087021e-09	6.27537820579034e-07	9.99867491111812	RTP4	RTP4	10.182828470932147
11314	1.67462560297768	6.97640139513044	6.91741782812448	1.18449786453559e-08	8.35624281794523e-07	9.69905771741991	CD300A	CD300A	10.178355908046155
10261	1.78230042271875	5.69796342213044	6.54625791044167	4.29063545208087e-08	2.07260093243489e-06	8.44377745646124	IGSF6	IGSF6	10.129676489651294
10398	-2.14315525345536	10.8110181210435	-5.68588495942262	8.42328141984213e-07	2.11956545853266e-05	5.54578339113999	MYL9	MYL9	10.016578652296008
